"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","1","$3.50","$348.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","1","$3.50","$348.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","2","$3.50","$697.74"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","1","$3.00","$298.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","4","$3.00","$1,195.48"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","3","$2.60","($783.39)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","6","$2.60","($1,566.78)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","1","$2.60","($261.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","8","$2.80","$2,230.96"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","1","$2.80","$278.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","1","$2.80","$278.87"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","2","$3.30","($662.26)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","1","$3.30","($331.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","5","$3.30","($1,655.65)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","1","$3.20","($321.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","1","$3.20","($321.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","5","$2.45","$1,219.35"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","5","$2.55","$1,269.35"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","STC","8","$2.60","$2,070.96"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","7","$1.60","($1,127.91)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","1","$1.60","($161.13)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","3","$2.95","($888.39)"
"7/9/2026","7/9/2026","7/10/2026","SPXW","SPXW 7/9/2026 Put $7,535.00","BTO","7","$2.95","($2,072.91)"
"7/9/2026","7/9/2026","7/10/2026","INTC","INTC 7/10/2026 Put $111.00","STC","3","$1.56","$467.86"
"7/9/2026","7/9/2026","7/10/2026","SNDK","SNDK 7/10/2026 Put $1,800.00","STC","2","$18.50","$3,699.83"
"7/9/2026","7/9/2026","7/10/2026","SNDK","SNDK 7/10/2026 Put $1,800.00","BTO","1","$31.00","($3,100.04)"
"7/9/2026","7/9/2026","7/10/2026","INTC","INTC 7/10/2026 Put $111.00","BTO","3","$1.80","($540.12)"
"7/9/2026","7/9/2026","7/10/2026","SNDK","SNDK 7/10/2026 Put $1,800.00","BTO","1","$49.50","($4,950.04)"
"7/9/2026","7/9/2026","7/10/2026","TSLA","TSLA 7/10/2026 Call $400.00","STC","1","$3.50","$349.94"
"7/9/2026","7/9/2026","7/10/2026","META","META 7/10/2026 Call $610.00","STC","1","$2.70","$269.94"
"7/9/2026","7/9/2026","7/10/2026","TSLA","TSLA 7/10/2026 Call $400.00","STC","1","$4.00","$399.94"
"7/9/2026","7/9/2026","7/10/2026","META","META 7/10/2026 Call $610.00","STC","1","$4.60","$459.94"
"7/9/2026","7/9/2026","7/10/2026","META","META 7/10/2026 Call $610.00","STC","1","$2.60","$259.94"
"7/9/2026","7/9/2026","7/10/2026","TSLA","TSLA 7/10/2026 Call $400.00","STC","1","$3.25","$324.94"
"7/9/2026","7/9/2026","7/10/2026","META","META 7/10/2026 Call $610.00","BTO","3","$1.29","($387.12)"
"7/9/2026","7/9/2026","7/10/2026","TSLA","TSLA 7/10/2026 Call $400.00","BTO","3","$2.74","($822.12)"
"7/8/2026","7/8/2026","7/9/2026","NBIS","Nebius Group
CUSIP: N97284108
Recurring","Buy","0.458074","$207.39","($95.00)"
"7/8/2026","7/8/2026","7/9/2026","ALAB","ALAB 7/10/2026 Call $420.00","STC","6","$7.10","$4,259.65"
"7/8/2026","7/8/2026","7/9/2026","AMD","AMD 7/13/2026 Call $525.00","STC","3","$9.80","$2,939.80"
"7/8/2026","7/8/2026","7/9/2026","AMD","AMD 7/13/2026 Call $525.00","BTO","3","$9.70","($2,910.12)"
"7/8/2026","7/8/2026","7/8/2026","DRTS","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","KEEL","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","HSAI","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","KEEL","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","AUR","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","YSS","Stock Lending","SLIP","","","$0.07"
"7/8/2026","7/8/2026","7/8/2026","DRAM","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","RCAT","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","DRTS","Stock Lending","SLIP","","","$0.01"
"7/8/2026","7/8/2026","7/8/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.95"
"7/8/2026","7/8/2026","7/9/2026","","Current Year Contribution","CFIR","","","$95.00"
"7/8/2026","7/8/2026","7/9/2026","ALAB","ALAB 7/10/2026 Call $420.00","BTO","1","$5.00","($500.04)"
"7/8/2026","7/8/2026","7/9/2026","ALAB","ALAB 7/10/2026 Call $420.00","BTO","1","$5.80","($580.04)"
"7/8/2026","7/8/2026","7/9/2026","ALAB","ALAB 7/10/2026 Call $420.00","BTO","1","$6.85","($685.04)"
"7/8/2026","7/8/2026","7/9/2026","ALAB","ALAB 7/10/2026 Call $420.00","BTO","1","$10.00","($1,000.04)"
"7/8/2026","7/8/2026","7/9/2026","ALAB","ALAB 7/10/2026 Call $420.00","BTO","2","$10.50","($2,100.08)"
"7/7/2026","7/7/2026","7/8/2026","NBIS","NBIS 7/10/2026 Call $220.00","STC","3","$4.55","$1,364.84"
"7/7/2026","7/7/2026","7/8/2026","SNDK","SNDK 7/10/2026 Call $1,700.00","STC","1","$43.00","$4,299.86"
"7/7/2026","7/7/2026","7/8/2026","SNDK","SNDK 7/10/2026 Call $1,700.00","BTO","1","$39.80","($3,980.04)"
"7/7/2026","7/7/2026","7/8/2026","NBIS","NBIS 7/10/2026 Call $220.00","BTO","1","$3.80","($380.04)"
"7/7/2026","7/7/2026","7/8/2026","NBIS","NBIS 7/10/2026 Call $220.00","BTO","2","$5.50","($1,100.08)"
"7/7/2026","7/7/2026","7/8/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$202.84","($202.84)"
"7/7/2026","7/7/2026","7/8/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$202.89","($202.89)"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $250.00","STC","2","$2.62","$523.89"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $250.00","BTO","2","$2.67","($534.08)"
"7/6/2026","7/6/2026","7/7/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$213.34","($213.34)"
"7/6/2026","7/6/2026","7/7/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108
Recurring","Buy","0.107032","$93.43","($10.00)"
"7/6/2026","7/6/2026","7/7/2026","AUR","Aurora Innovation
CUSIP: 051774107
Recurring","Buy","0.726744","$6.88","($5.00)"
"7/6/2026","7/6/2026","7/6/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.15"
"7/6/2026","7/6/2026","7/7/2026","","Current Year Contribution","CFIR","","","$15.00"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $250.00","STC","2","$3.62","$723.89"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $230.00","STC","1","$10.80","$1,079.92"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $230.00","STC","1","$10.90","$1,089.92"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $230.00","BTO","2","$10.35","($2,070.08)"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/10/2026 Call $250.00","BTO","2","$3.70","($740.08)"
"7/6/2026","7/6/2026","7/7/2026","MU","MU 7/10/2026 Call $1,050.00","STC","2","$36.70","$7,339.75"
"7/6/2026","7/6/2026","7/7/2026","MU","MU 7/10/2026 Call $1,050.00","BTO","1","$34.00","($3,400.04)"
"7/6/2026","7/6/2026","7/7/2026","MU","MU 7/10/2026 Call $1,050.00","BTO","1","$34.00","($3,400.04)"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/17/2026 Call $250.00","STC","3","$8.00","$2,399.82"
"7/6/2026","7/6/2026","7/7/2026","NBIS","NBIS 7/17/2026 Call $250.00","BTO","3","$7.00","($2,100.12)"
"7/2/2026","7/2/2026","7/6/2026","KEEL","Keel Infrastructure
CUSIP: 486917107","Buy","20","$4.61","($92.20)"
"7/2/2026","7/2/2026","7/6/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$211.64","($211.64)"
"7/2/2026","7/2/2026","7/6/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$214.14","($214.14)"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Put $1,040.00","STC","1","$19.70","$1,969.90"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Put $1,040.00","STC","1","$20.50","$2,049.90"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Put $1,040.00","STC","1","$20.50","$2,049.90"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Put $1,040.00","BTO","3","$18.00","($5,400.12)"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Call $1,070.00","STC","3","$18.00","$5,399.75"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Call $1,070.00","BTO","3","$22.50","($6,750.12)"
"7/1/2026","7/1/2026","7/2/2026","NBIS","NBIS 7/2/2026 Call $260.00","STC","4","$0.68","$271.82"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Call $1,070.00","STC","1","$18.70","$1,869.91"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Call $1,070.00","STC","1","$20.80","$2,079.90"
"7/1/2026","7/1/2026","7/2/2026","MU","MU 7/2/2026 Call $1,070.00","BTO","2","$18.18","($3,636.08)"
"7/1/2026","7/1/2026","7/2/2026","NBIS","Nebius Group
CUSIP: N97284108
Recurring","Buy","0.398824","$238.20","($95.00)"
"7/1/2026","7/1/2026","7/1/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.95"
"7/1/2026","7/1/2026","7/2/2026","","Current Year Contribution","CFIR","","","$95.00"
"7/1/2026","7/1/2026","7/2/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$236.28","($236.29)"
"7/1/2026","7/1/2026","7/2/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$236.67","($236.67)"
"7/1/2026","7/1/2026","7/2/2026","NBIS","NBIS 7/2/2026 Call $260.00","BTO","1","$1.30","($130.04)"
"7/1/2026","7/1/2026","7/2/2026","NBIS","NBIS 7/2/2026 Call $260.00","STC","1","$3.75","$374.94"
"7/1/2026","7/1/2026","7/2/2026","NBIS","NBIS 7/2/2026 Call $260.00","BTO","1","$2.25","($225.04)"
"7/1/2026","7/1/2026","7/2/2026","NBIS","NBIS 7/2/2026 Call $260.00","BTO","3","$3.50","($1,050.12)"
"6/30/2026","6/30/2026","7/1/2026","APLD","APLD 7/10/2026 Call $40.00","STC","6","$1.48","$887.72"
"6/30/2026","6/30/2026","7/1/2026","APLD","APLD 7/10/2026 Call $40.00","BTO","6","$1.48","($888.24)"
"6/30/2026","6/30/2026","7/1/2026","CRWV","CRWV 7/10/2026 Call $105.00","STC","3","$2.87","$860.85"
"6/30/2026","6/30/2026","7/1/2026","CRWV","CRWV 7/10/2026 Call $105.00","BTO","3","$2.52","($756.12)"
"6/30/2026","6/30/2026","7/1/2026","CRWV","CRWV 7/10/2026 Call $105.00","STC","3","$2.40","$719.85"
"6/30/2026","6/30/2026","7/1/2026","CRWV","CRWV 7/10/2026 Call $105.00","BTO","3","$2.75","($825.12)"
"6/30/2026","6/30/2026","7/1/2026","CRDO","CRDO 7/10/2026 Call $280.00","STC","1","$10.00","$999.92"
"6/30/2026","6/30/2026","7/1/2026","CRDO","CRDO 7/10/2026 Call $280.00","STC","1","$11.50","$1,149.92"
"6/30/2026","6/30/2026","7/1/2026","CRDO","CRDO 7/10/2026 Call $280.00","BTO","2","$9.60","($1,920.08)"
"6/29/2026","6/29/2026","6/30/2026","AUR","Aurora Innovation
CUSIP: 051774107
Recurring","Buy","0.766871","$6.52","($5.00)"
"6/29/2026","6/29/2026","6/30/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108
Recurring","Buy","0.102408","$97.65","($10.00)"
"6/29/2026","6/29/2026","6/29/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.15"
"6/29/2026","6/29/2026","6/30/2026","","Current Year Contribution","CFIR","","","$15.00"
"6/29/2026","6/29/2026","6/30/2026","MU","MU 7/2/2026 Call $1,060.00","STC","1","$39.20","$3,919.86"
"6/29/2026","6/29/2026","6/30/2026","MU","MU 7/2/2026 Call $1,060.00","BTO","1","$37.00","($3,700.04)"
"6/29/2026","6/29/2026","6/30/2026","DRAM","DRAM 9/18/2026 Call $85.00","STC","4","$6.80","$2,719.77"
"6/29/2026","6/29/2026","6/30/2026","DRAM","DRAM 9/18/2026 Call $85.00","BTO","1","$7.50","($750.04)"
"6/29/2026","6/29/2026","6/30/2026","SLS","SELLAS Life Sciences
CUSIP: 81642T209","Buy","2","$13.27","($26.54)"
"6/26/2026","6/26/2026","6/26/2026","NVDA","Cash Div: R/D 2026-06-04 P/D 2026-06-26 - 5 shares at 0.25","CDIV","","","$1.25"
"6/26/2026","6/26/2026","6/29/2026","MSFT","Microsoft
CUSIP: 594918104","Buy","4","$373.26","($1,493.04)"
"6/26/2026","6/26/2026","6/29/2026","MSFT","Microsoft
CUSIP: 594918104","Buy","1","$373.23","($373.23)"
"6/26/2026","6/26/2026","6/29/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$241.00","($241.00)"
"6/26/2026","6/26/2026","6/29/2026","MU","MU 6/26/2026 Call $1,180.00","STC","1","$14.60","$1,459.91"
"6/26/2026","6/26/2026","6/29/2026","MU","MU 6/26/2026 Call $1,180.00","STC","1","$11.27","$1,126.92"
"6/26/2026","6/26/2026","6/29/2026","MU","MU 6/26/2026 Call $1,180.00","BTO","2","$7.25","($1,450.08)"
"6/26/2026","6/26/2026","6/29/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$239.60","($239.60)"
"6/26/2026","6/26/2026","6/29/2026","GOOG","Alphabet Class C
CUSIP: 02079K107","Buy","1","$334.72","($334.72)"
"6/26/2026","6/26/2026","6/29/2026","KEEL","Keel Infrastructure
CUSIP: 486917107","Buy","25","$5.71","($142.73)"
"6/26/2026","6/26/2026","6/29/2026","LLY","LLY 6/26/2026 Call $1,180.00","STC","1","$6.25","$624.93"
"6/26/2026","6/26/2026","6/29/2026","LLY","LLY 6/26/2026 Call $1,180.00","STC","1","$6.50","$649.93"
"6/26/2026","6/26/2026","6/29/2026","LLY","LLY 6/26/2026 Call $1,180.00","BTO","2","$5.25","($1,050.08)"
"6/26/2026","6/26/2026","6/29/2026","DRAM","DRAM 9/18/2026 Call $85.00","BTO","3","$9.10","($2,730.12)"
"6/26/2026","6/26/2026","6/29/2026","GOOG","Alphabet Class C
CUSIP: 02079K107","Buy","1","$341.06","($341.06)"
"6/25/2026","6/25/2026","6/26/2026","RDW","Redwire
CUSIP: 75776W103","Sell","15","$10.70","$160.50"
"6/25/2026","6/25/2026","6/26/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$253.06","($253.06)"
"6/25/2026","6/25/2026","6/26/2026","ALAB","Astera Labs, Inc.
CUSIP: 04626A103","Sell","7.145527","$388.16","$2,773.51"
"6/25/2026","6/25/2026","6/26/2026","ALAB","Astera Labs, Inc.
CUSIP: 04626A103
Recurring","Buy","0.074232","$404.14","($30.00)"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 6/26/2026 Call $530.00","STC","1","$7.45","$744.93"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 6/26/2026 Call $530.00","STC","1","$8.45","$844.93"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 6/26/2026 Call $530.00","BTO","2","$8.00","($1,600.08)"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $415.00","STC","1","$10.00","$999.92"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $415.00","STC","1","$10.45","$1,044.92"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $415.00","STC","1","$10.90","$1,089.92"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $415.00","BTO","3","$9.25","($2,775.12)"
"6/25/2026","6/25/2026","6/25/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.30"
"6/25/2026","6/25/2026","6/26/2026","","Current Year Contribution","CFIR","","","$30.00"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $410.00","STC","2","$10.00","$1,999.86"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $410.00","STC","1","$10.40","$1,039.92"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $410.00","BTO","1","$7.75","($775.04)"
"6/25/2026","6/25/2026","6/26/2026","ALAB","ALAB 6/26/2026 Call $410.00","BTO","2","$10.80","($2,160.08)"
"6/25/2026","6/25/2026","6/26/2026","NBIS","NBIS 7/2/2026 Put $250.00","STC","1","$14.25","$1,424.92"
"6/25/2026","6/25/2026","6/26/2026","NBIS","NBIS 7/2/2026 Put $250.00","STC","1","$15.20","$1,519.91"
"6/25/2026","6/25/2026","6/26/2026","NBIS","NBIS 7/2/2026 Put $250.00","BTO","1","$14.70","($1,470.04)"
"6/25/2026","6/25/2026","6/26/2026","NBIS","NBIS 7/2/2026 Put $250.00","BTO","1","$14.75","($1,475.04)"
"6/25/2026","6/25/2026","6/26/2026","HSAI","Hesai Group ADR
CUSIP: 428050108","Buy","10","$15.17","($151.70)"
"6/25/2026","6/25/2026","6/26/2026","MSFT","MSFT 7/1/2026 Call $365.00","STC","3","$4.20","$1,259.84"
"6/25/2026","6/25/2026","6/26/2026","MRVL","MRVL 6/26/2026 Call $272.50","STC","1","$7.50","$749.93"
"6/25/2026","6/25/2026","6/26/2026","MSFT","MSFT 7/1/2026 Call $365.00","BTO","3","$4.35","($1,305.12)"
"6/25/2026","6/25/2026","6/26/2026","MRVL","MRVL 6/26/2026 Call $272.50","STC","1","$6.90","$689.93"
"6/25/2026","6/25/2026","6/26/2026","MRVL","MRVL 6/26/2026 Call $272.50","BTO","2","$6.45","($1,290.08)"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 6/26/2026 Put $530.00","STC","1","$11.80","$1,179.92"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 6/26/2026 Put $530.00","STC","1","$9.90","$989.92"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 6/26/2026 Put $530.00","BTO","2","$8.55","($1,710.08)"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 7/10/2026 Put $450.00","STC","2","$4.60","$919.89"
"6/25/2026","6/25/2026","6/26/2026","AMD","AMD 7/10/2026 Put $450.00","BTO","2","$4.55","($910.08)"
"6/24/2026","6/24/2026","6/25/2026","NBIS","Nebius Group
CUSIP: N97284108
Recurring","Buy","0.378275","$251.14","($95.00)"
"6/24/2026","6/24/2026","6/25/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$250.91","($250.91)"
"6/24/2026","6/24/2026","6/25/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","1","$271.89","($271.89)"
"6/24/2026","6/24/2026","6/25/2026","KEEL","Keel Infrastructure
CUSIP: 486917107","Buy","25","$6.12","($152.92)"
"6/24/2026","6/24/2026","6/24/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.95"
"6/24/2026","6/24/2026","6/25/2026","","Current Year Contribution","CFIR","","","$95.00"
"6/24/2026","6/24/2026","6/25/2026","NBIS","NBIS 6/26/2026 Call $270.00","STC","3","$7.05","$2,114.82"
"6/24/2026","6/24/2026","6/25/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$257.53","($257.53)"
"6/24/2026","6/24/2026","6/25/2026","NBIS","NBIS 6/26/2026 Call $270.00","BTO","1","$5.90","($590.04)"
"6/24/2026","6/24/2026","6/25/2026","NBIS","NBIS 6/26/2026 Call $270.00","BTO","2","$8.45","($1,690.08)"
"6/24/2026","6/24/2026","6/25/2026","GOOG","GOOG 6/26/2026 Call $355.00","STC","2","$2.32","$463.90"
"6/24/2026","6/24/2026","6/25/2026","GOOG","GOOG 6/26/2026 Call $355.00","BTO","2","$2.85","($570.08)"
"6/23/2026","6/23/2026","6/24/2026","MU","MU 6/26/2026 Call $1,120.00","STC","1","$59.00","$5,899.82"
"6/23/2026","6/23/2026","6/24/2026","MU","MU 6/26/2026 Call $1,120.00","BTO","1","$59.80","($5,980.04)"
"6/23/2026","6/23/2026","6/24/2026","DRAM","DRAM 9/18/2026 Call $80.00","STC","1","$10.50","$1,049.92"
"6/23/2026","6/23/2026","6/24/2026","DRAM","DRAM 9/18/2026 Call $80.00","STC","1","$10.50","$1,049.92"
"6/23/2026","6/23/2026","6/24/2026","DRAM","DRAM 9/18/2026 Call $80.00","BTO","2","$10.60","($2,120.08)"
"6/23/2026","6/23/2026","6/24/2026","KEEL","Keel Infrastructure
CUSIP: 486917107","Buy","25","$6.42","($160.63)"
"6/23/2026","6/23/2026","6/24/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$256.99","($256.99)"
"6/23/2026","6/23/2026","6/24/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$261.69","($261.69)"
"6/23/2026","6/23/2026","6/24/2026","HSAI","Hesai Group ADR
CUSIP: 428050108","Buy","5","$16.01","($80.05)"
"6/23/2026","6/23/2026","6/24/2026","NBIS","Nebius Group
CUSIP: N97284108","Buy","1","$274.95","($274.95)"
"6/22/2026","6/22/2026","6/23/2026","AUR","Aurora Innovation
CUSIP: 051774107
Recurring","Buy","0.753012","$6.64","($5.00)"
"6/22/2026","6/22/2026","6/23/2026","RKLB","Rocket Lab Corporation
CUSIP: 773121108
Recurring","Buy","0.101051","$98.96","($10.00)"
"6/22/2026","6/22/2026","6/22/2026","","Interest on Contribution (IRA Match)","MTCH","","","$0.15"
"6/22/2026","6/22/2026","6/23/2026","","Current Year Contribution","CFIR","","","$15.00"
"6/22/2026","6/22/2026","6/23/2026","DRAM","DRAM 7/31/2026 Call $90.00","STC","1","$6.35","$634.93"
"6/22/2026","6/22/2026","6/23/2026","META","META 6/26/2026 Call $570.00","STC","1","$7.05","$704.93"
